year_12_or_above,gccsa_name,gccsa_code,year_8_or_below
38,Rest of NSW,1RNSW,5.6
60,Greater Sydney,1GSYD,4.1
38.9,Rest of Vic.,2RVIC,6.7
59.4,Greater Melbourne,2GMEL,5.3
56.9,Greater Brisbane,3GBRI,4.2
44.6,Rest of Qld,3RQLD,5.3
33.4,Rest of SA,4RSAU,7.2
51.6,Greater Adelaide,4GADE,4.9
55.3,Greater Perth,5GPER,3.1
38.7,Rest of WA,5RWAU,3.8
46.4,Greater Hobart,6GHOB,4.1
32.1,Rest of Tas.,6RTAS,5.5
31.6,Rest of NT,7RNTE,10.5
50.2,Greater Darwin,7GDAR,3.1
69.4,Australian Capital Territory,8ACTE,2.4
47.1,ALL,ALL,5.05