mean_aud,gccsa_code,sum_aud,earners_persons,gccsa_name
7127,1RNSW,7002728991,982582,Rest of NSW
9856,1GSYD,20260663742,2055651,Greater Sydney
8001,2RVIC,4436966525,554551,Rest of Vic.
10251,2GMEL,19385248419,1891010,Greater Melbourne
7806,3GBRI,6915469029,885863,Greater Brisbane
7809,3RQLD,7017227815,898602,Rest of Qld
7430,4RSAU,1031373718,138803,Rest of SA
8854,4GADE,4521758671,510703,Greater Adelaide
9621,5GPER,7693916213,799714,Greater Perth
7641,5RWAU,1487838275,194727,Rest of WA
7032,6GHOB,590420202,83956,Greater Hobart
6453,6RTAS,620562068,96159,Rest of Tas.
3106,7RNTE,59181446,19055,Rest of NT
3879,7GDAR,218257553,56273,Greater Darwin
5486,8ACTE,1046969747,190832,Australian Capital Territory